tier,rank,puuid,queueType,region,sub_region,division
BRONZE,IV,s142hqLdaiq-ubXwA10UF1QhMRhu4YbLvdSqxSFL5znCNWUU05yX-MfChLgtjLva3V_T1_OmywGVAw,RANKED_SOLO_5x5,europe,eun1,BRONZE_IV
BRONZE,IV,JtZTBVytK8F9dEO4DDoysbpjjKRrh59ZL9FeHAx-g9AZw6LG8_-z-wNAFgQb_4VDqgsE-lElEQoJJQ,RANKED_SOLO_5x5,europe,eun1,BRONZE_IV
BRONZE,IV,SDFkNk2ChjdBA4aLfrvSNwxoxAAE0d8FMee9YtEEO9y-WsPwJhaD-aGGpma2rX-x_AO4tu427hmlsg,RANKED_SOLO_5x5,europe,eun1,BRONZE_IV
BRONZE,IV,jucJYsrcRm8arBE_-tJjFwf1apJxaATx7qBgiSIf49zkwrPmHl5E_tzeE8kqEoYEP6BcZmeP_NoBHw,RANKED_SOLO_5x5,europe,eun1,BRONZE_IV
SILVER,I,GQURykaZ2-D_bMw4CFBZXlZSH-GPtRDWe25L3uRc34Nf3hCZWUdJ9zE45zsXOMCQoPAmy9lWh9ja4A,RANKED_SOLO_5x5,europe,eun1,SILVER_I
SILVER,I,dYP2YmpGB4Bd9f2HE8ubxwJscLKMYlfyUpuJ3qY3-VqGXEJr5LBB1YjxEV82dlAfecd_eRdkjOX2kA,RANKED_SOLO_5x5,europe,eun1,SILVER_I
SILVER,I,6wjjInYwMZY1vx_EbFYZ_R93HUXKUPlsgHBCjPLi0xz8nLcWWbuj9RhXqWm7bTmVRqiUL8tEHrWcAA,RANKED_SOLO_5x5,europe,eun1,SILVER_I
SILVER,I,tB55OL-HD9YnfOmWij59BfnzDrSx_gjQlLJsMtd-PuonWkFyYqcXi1RtEqbIbWmUcycQnL9ZucOCRw,RANKED_SOLO_5x5,europe,eun1,SILVER_I
SILVER,I,vQMEqC3x-hlYgpkEil-Junr4dfrz75ZieJEt-SijVJsn_KS5rkEe_E4YYNbvLqwZRPV4zxQW18EK7A,RANKED_SOLO_5x5,europe,eun1,SILVER_I
SILVER,I,11eUcN7k2-HS_S9KGoe42t2395lr9jw1AcGZ5cx1LfQwPi5IZhsEN5X8uYDYZnPp_Csy9ZXuQHhIRg,RANKED_SOLO_5x5,europe,eun1,SILVER_I
SILVER,I,LGuv3ic3WmPYRnaQoVlBa3knr-jtsOfjDeNcxRP0Ro8O5aZwhfWQ5FxM3a0Obkri-cUiDPDaBLOQ1g,RANKED_SOLO_5x5,europe,eun1,SILVER_I
SILVER,I,dBA_UjoxDbZzPjvYqiHKuKHgV9C22gC82WxYWqydMNNUacDIA0W0_JvwM20IQluyGNPFghGN8h8m9w,RANKED_SOLO_5x5,europe,eun1,SILVER_I
SILVER,I,LPJ4ddjBeSpl8uGh3NaRBpHC5_prb421cgoP_NzUKcTAoat8QQHaCHBqzRKiELmBlcVWDcqFLRuldw,RANKED_SOLO_5x5,europe,eun1,SILVER_I
SILVER,I,TLPA7ga4ksVVoLWbL5gfHCS3xPJqyeAHZfuc2sUF3OngENrRsBm9FTr-hYUBD_4p4D9AfcrQJQB5bw,RANKED_SOLO_5x5,europe,eun1,SILVER_I
SILVER,II,PrOUFzXRoRT3Iug7xcuNQP3Pl_w_uWuVleUs2IN7zchA2U00fTV7oHKlBxZoXIl2XnJVI2V5AD4S7g,RANKED_SOLO_5x5,europe,eun1,SILVER_II
SILVER,II,t_uRcYfG5JXyZd-HgCBF_GsKLSpYblEQkONcjhg-NAEqtV8vPFFAJeDaYEa_Ue4Gp75kOMsjWAENqg,RANKED_SOLO_5x5,europe,eun1,SILVER_II
SILVER,II,PS-KDi-LtmSBmqBCsT9iUVAhGYa4VfD5E7HR_yjUlHe5dfDe2TBlP5TzBmjyPdIjqo23seHdVx6TpA,RANKED_SOLO_5x5,europe,eun1,SILVER_II
SILVER,II,RWL6kgunqBkA031Kn8ivT7t-IKAO7oLsJ9_F-aHR_5Opz9a7ycL2grZ0R04_w7pUmVjbHVnIWPV0ug,RANKED_SOLO_5x5,europe,eun1,SILVER_II
SILVER,II,4gnPuAhcyoddvRl-dS9g98G4-Y2gOEar3s8ZFiJS1PxS0qI6y4I6ZaddhgDGfJrSEOvakCjjz0eFVg,RANKED_SOLO_5x5,europe,eun1,SILVER_II
SILVER,II,X6TD5pdP7je5kTgnk7NTW5gs2kKwSNkwhm3FHv9WLY2OvjTdFT6x-sXCQljVxN4eIhHBpRE3s5oJFg,RANKED_SOLO_5x5,europe,eun1,SILVER_II
SILVER,II,ZLHRQaz7tGRvgDyC3VQGBvk8FZgU0eWWRN3UY1L2oqm4zg44wFnrmwAu5cTkt8MsjuQK7HK3E-y2Pg,RANKED_SOLO_5x5,europe,eun1,SILVER_II
SILVER,II,_uTtHOltHThgTNE6uVzjqW1-3xdux0JKo8hzs7OjLgza9E4mIhCzJRQ8qNdTQzZ5VRRDqtN-IvXDUw,RANKED_SOLO_5x5,europe,eun1,SILVER_II
SILVER,II,Dzj7bg9Kx5vtKUHw1lIi3CKFVxsGtu6rTiwePRgX1BnmD3uE8F5cMVv0CUWwIkoDrQay3E6SMRyk5w,RANKED_SOLO_5x5,europe,eun1,SILVER_II
SILVER,II,XS61_Rdrty9i4HIMAFjBXvTi0SZuu_3RR18iDav6jHs9qS10Ou4ux7qW0NxcPWeIfVctME-teJt4xA,RANKED_SOLO_5x5,europe,eun1,SILVER_II
SILVER,III,F1mLnHYgicdanti7UKMfjP6NZM6co2Mj__ANc4BZuj7deAX-7rSy7RSMnStxWwiwJi_gky_i1j2K0g,RANKED_SOLO_5x5,europe,eun1,SILVER_III
SILVER,III,-52UCSnpQBMSvGNx7b-oT5kWgSx_3naQDzAv4a4XHhZJz8xaBoWM4rrEKSvZSRZXvIobT47dJBL62w,RANKED_SOLO_5x5,europe,eun1,SILVER_III
SILVER,III,I6d3bbwqefen2kwd5UnVhr6A6ayiMP5bUgD4ovT24ESl8Oq8RQCMsz_EPhMI6xVrFVPWfq1V1vAIjA,RANKED_SOLO_5x5,europe,eun1,SILVER_III
SILVER,III,a8OsmON_CWQ_gdAJ4OnfF0Q4DXeCX1hVqmsC7R6EUgbKAnz7J-ZS4YT8M761hI_TS1-faYOKk2Oxsw,RANKED_SOLO_5x5,europe,eun1,SILVER_III
SILVER,III,Rjm57IlynAc5yoAR7OOKX4H6DMFZrHO-1HhGwHHmgvQNIcWePt2sohPxCrEc0iPUr_1Va33cI2p8nQ,RANKED_SOLO_5x5,europe,eun1,SILVER_III
SILVER,III,kIWeSnXdfTiOFmZ1IaeInSEYrQPpBQpCgcAQkXvgZJtO80BpXpCqFDkaH4ARkF4zaAP6wDgLRlcFDA,RANKED_SOLO_5x5,europe,eun1,SILVER_III
SILVER,III,ELqli69WTVEDf0HpzOhbVuW0WakS9v5KqIfulQAOHeu0YnnkW3heYSzv6-fwpzrqHpwLqRfjgUdWGw,RANKED_SOLO_5x5,europe,eun1,SILVER_III
SILVER,III,8FnAC5llgKyzYp1jKYt6EjwSeDGUf4_ougO8NS-nR6s916Rny1PmNe8ymVaL5c0mCN2-NhZfIkmv5Q,RANKED_SOLO_5x5,europe,eun1,SILVER_III
SILVER,III,8N4LW7OcFvxM3dPFUrVw3s2wiK4_laoQGuj7MEG5pBaHJllFz7xnypQUtCcR_ubG8vCsniDz_d6LxQ,RANKED_SOLO_5x5,europe,eun1,SILVER_III
SILVER,III,am_dSEnRuPJbz-_58atrQlXBEN-arTjwBBKYCeVeRxjpwBeAWmdYn1HTjnbsJJJ8XQoy-Q_Rzbl2pQ,RANKED_SOLO_5x5,europe,eun1,SILVER_III
SILVER,IV,pey_ldW7NF7VsZNbuZQiBfTlS5t0geVfkSE1edl4DoiuJdy2fWeka1d4oK50jL4oeqLLjus694lMRQ,RANKED_SOLO_5x5,europe,eun1,SILVER_IV
SILVER,IV,bRb9JikkLAbNWzt5IN-eqa05YJkDO6x8-4PJmZmsg3clnQvO9C1q83G7k00PNWOCr_zwEqoAGzq50g,RANKED_SOLO_5x5,europe,eun1,SILVER_IV
SILVER,IV,o20tNOm9m-XPB4DpkgchVxlwwH9wm-RUmzYL5tUzg019yI6GNbtIyqdge4K4D520Eh56CpWEj5fQgA,RANKED_SOLO_5x5,europe,eun1,SILVER_IV
SILVER,IV,4Lvqnfs5B4wDOWXoE20WRmAGo4uJ8CYxqtj1nJ0xV3ORrLs8jczMP9iRgpOpSprbgN3qhAJLDp-RoQ,RANKED_SOLO_5x5,europe,eun1,SILVER_IV
SILVER,IV,8cyATRV4HAaynX3EjMks7gxRrzAdlxpVg56POVAaynjO0JW5VXli1pzUEF4LdRGB205VPauGtTdXFQ,RANKED_SOLO_5x5,europe,eun1,SILVER_IV
SILVER,IV,f6nhPfU98IVkfAwgzRs0gzlTzv5rRch9hyBNsKrt3ZpCWQ9dVNk9ZtVYlWWkB0QRh7elWhEUqRONTg,RANKED_SOLO_5x5,europe,eun1,SILVER_IV
SILVER,IV,JT_Wbk94EEEoEZx3Wed5NOtGbK7kdhT0SDfj3Y2tivAus9aYcOD_icrJrIHg8RG5-pZuoWHbOk1E3Q,RANKED_SOLO_5x5,europe,eun1,SILVER_IV
SILVER,IV,1lwa-IDdm5hrcxaeKW6LlikSk5cQ92hF3w8h-nCl5JicI8sacU_SGhGEX4KAuLrecWt5t_uVh8IKEg,RANKED_SOLO_5x5,europe,eun1,SILVER_IV
